"time","state.hour","state.value"
"2022-01-27T10:54:41.721+03:00",,"0"
"2022-01-27T12:31:06.083+03:00",,"1"
"2022-01-27T12:33:14.804+03:00",,"0"
"2022-01-27T12:54:46.918+03:00",,"0"
"2022-01-27T13:03:20.491+03:00",,"1"
"2022-01-27T13:03:30.597+03:00",,"0"
"2022-01-27T13:23:52.777+03:00",,"1"
"2022-01-27T13:23:59.704+03:00",,"0"
"2022-01-27T14:40:15.814+03:00",,"0"
"2022-01-27T14:40:16.398+03:00",,"1"
"2022-01-27T14:40:17.033+03:00",,"0"
"2022-01-27T14:40:17.777+03:00",,"0"
"2022-01-27T14:49:18.688+03:00",,"1"
"2022-01-27T14:49:22.064+03:00",,"0"
"2022-01-27T14:51:26.913+03:00",,"1"
"2022-01-27T14:51:33.803+03:00",,"0"
"2022-01-27T14:54:48.147+03:00",,"0"
"2022-01-27T15:43:01.602+03:00",,"1"
"2022-01-27T15:43:07.295+03:00",,"0"
